时间,实际电流
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,48
2018/9/17 18:20,48
2018/9/17 18:20,48
2018/9/17 18:20,48
2018/9/17 18:20,48
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.6
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.2
2018/9/17 18:20,47.6
2018/9/17 18:20,48
2018/9/17 18:20,46.4
2018/9/17 18:20,46.4
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,46
2018/9/17 18:20,44
2018/9/17 18:20,44
2018/9/17 18:20,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,44
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:21,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46
2018/9/17 18:22,46.4
2018/9/17 18:22,46.4
2018/9/17 18:22,46.4
2018/9/17 18:22,47.2
2018/9/17 18:22,47.2
2018/9/17 18:22,47.2
2018/9/17 18:22,47.2
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,48
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.6
2018/9/17 18:22,45.2
2018/9/17 18:22,45.2
